Timestamp,What School does your child attend?,My child or children have been attending this school for . . .,My child(ren) like(s) going to school.,My child's social-emotional needs are being met and (s)he feels safe at this school.,My child is encouraged to take positive academic risks at this school.,I feel welcome at my child's school.,My child's teachers communicate with me effectively.,This school communicates with me effectively.,I understand how to support my child's learning at home.,My school offers support to help me help my child's learning.,My child's school encourages me to actively engage in my child's education.,I'm aware of the traits my child's school is trying to develop in my child.,My child's school does things that help them develop these traits.,I see value in the way this school uses technology in teaching my child.,I believe my child's school experience is adequately preparing them for the real world.
1/27/2022 15:25:55,Harrison K-8,Less than one year,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,Yes,Absolutely,No,I'm not sure,Sort of,Neither agree nor disagree
1/28/2022 6:28:21,Harrison K-8,Less than one year,No,No,No,No,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,No,I'm not sure,No,Somewhat Disagree
1/28/2022 8:46:33,Harrison K-8,One to three years,Yes,No,I'm not sure,Not often,No,No,"No, but I'm willing to learn how to do this better",Yes,On occasion,No,I'm not sure,No,Strongly disagree
1/28/2022 9:55:41,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Absolutely,No,I'm not sure,Sort of,Somewhat agree
1/29/2022 11:29:38,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/30/2022 19:54:09,Harrison K-8,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/31/2022 10:13:17,Harrison K-8,Three to six years,Yes,No,Yes,Yes,No,No,"No, but I'm willing to learn how to do this better",Yes,Absolutely,Yes,I'm not sure,No,Somewhat agree
1/31/2022 13:56:56,Harrison K-8,Less than one year,Yes,Yes,I'm not sure,Often,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,No,I'm not sure,Sort of,Neither agree nor disagree
2/1/2022 2:21:02,Harrison K-8,One to three years,Yes,Yes,I'm not sure,Often,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,No,I'm not sure,Sort of,Somewhat agree
2/1/2022 4:11:12,Harrison K-8,Three to six years,Yes,Yes,I'm not sure,Often,Yes,No,Yes,Not that I am aware of,Absolutely,No,I'm not sure,Yes,Neither agree nor disagree
2/1/2022 20:28:52,Harrison K-8,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Neither agree nor disagree
2/2/2022 15:31:04,Harrison K-8,Three to six years,Yes,Yes,Yes,Yes,No,Not really,"No, but I'm willing to learn how to do this better",Not that I am aware of,Absolutely,Yes,No,Sort of,Strongly disagree
2/2/2022 18:24:48,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Neither agree nor disagree
2/3/2022 12:02:12,Harrison K-8,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/3/2022 12:03:36,Harrison K-8,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"No, but I'm willing to learn how to do this better",Yes,Absolutely,Yes,Yes,Sort of,Strongly agree
2/3/2022 12:04:20,Harrison K-8,Less than one year,Yes,Yes,I'm not sure,Yes,No,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/3/2022 12:05:15,Harrison K-8,Less than one year,Yes,Yes,Yes,Often,No,Yes,Yes,Not that I am aware of,Rarely,Yes,I'm not sure,Sort of,Neither agree nor disagree
2/3/2022 12:07:09,Harrison K-8,Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,I'm not sure,Sort of,Somewhat agree
2/3/2022 12:07:37,Harrison K-8,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/3/2022 12:09:20,Harrison K-8,One to three years,No,No,I'm not sure,Not often,No,No,Yes,No,Never,Yes,I'm not sure,No,Strongly disagree
2/3/2022 12:09:29,Harrison K-8,More than six years,Yes,Yes,I'm not sure,Yes,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,No,Somewhat agree
2/3/2022 12:10:43,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,Rarely,Yes,Yes,Yes,Somewhat agree
2/3/2022 12:14:22,Harrison K-8,More than six years,Yes,No,No,Yes,No,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
2/3/2022 12:15:23,Harrison K-8,Less than one year,Yes,Yes,I'm not sure,Often,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,Yes,Sort of,Somewhat Disagree
2/3/2022 12:25:46,Harrison K-8,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/3/2022 12:26:55,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,No,Somewhat Disagree
2/3/2022 12:26:56,Harrison K-8,Three to six years,Yes,Yes,Yes,Yes,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,I'm not sure,Yes,Strongly agree
2/3/2022 12:55:39,Harrison K-8,One to three years,No,No,No,Often,Yes,Yes,Yes,Yes,Absolutely,No,No,No,Strongly disagree
2/3/2022 13:02:31,Harrison K-8,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/3/2022 13:24:33,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/3/2022 13:33:03,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/3/2022 13:41:27,Harrison K-8,Less than one year,Yes,Yes,I'm not sure,Often,No,No,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,No,No,No,Somewhat Disagree
2/3/2022 14:07:26,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/3/2022 14:23:26,Harrison K-8,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Sort of,Strongly agree
2/3/2022 16:19:40,Harrison K-8,More than six years,Yes,No,I'm not sure,Yes,No,No,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,No,No,No,Strongly disagree
2/3/2022 16:50:37,Harrison K-8,One to three years,I'm not sure,I'm not sure,No,Often,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,Yes,I'm not sure,Sort of,Neither agree nor disagree
2/3/2022 18:36:48,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,No,Somewhat,Yes,No,On occasion,Yes,Yes,Yes,Somewhat agree
2/3/2022 18:45:20,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/3/2022 19:07:05,Harrison K-8,More than six years,No,I'm not sure,Yes,Yes,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Somewhat agree
2/3/2022 22:46:55,Harrison K-8,Three to six years,Yes,Yes,Yes,Yes,No,Somewhat,Yes,Yes,On occasion,No,I'm not sure,Yes,Somewhat agree
2/4/2022 5:29:29,Harrison K-8,More than six years,No,No,No,Often,No,No,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,No,I'm not sure,No,Somewhat Disagree
2/4/2022 6:20:39,Harrison K-8,One to three years,Yes,Yes,I'm not sure,Often,No,Somewhat,Yes,Yes,Absolutely,No,I'm not sure,Sort of,Neither agree nor disagree
2/4/2022 7:12:51,Harrison K-8,More than six years,Yes,Yes,I'm not sure,Often,No,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/4/2022 9:00:15,Harrison K-8,Three to six years,Yes,No,No,No,Yes,Somewhat,No,Yes,On occasion,No,I'm not sure,Sort of,Strongly disagree
2/4/2022 9:02:44,Harrison K-8,One to three years,No,No,No,No,No,Not really,No,Yes,Rarely,No,No,No,Strongly disagree
2/4/2022 9:42:17,Harrison K-8,Less than one year,No,No,I'm not sure,Not often,No,Not really,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,No,No,No,Strongly disagree
2/4/2022 10:34:20,Harrison K-8,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,I'm not sure,Yes,Somewhat agree
2/4/2022 11:11:31,Harrison K-8,One to three years,No,No,No,No,No,No,No,No,Never,No,No,No,Strongly disagree
2/4/2022 11:17:34,Harrison K-8,One to three years,I'm not sure,No,No,Yes,Yes,Yes,Yes,Yes,Absolutely,No,No,Yes,Strongly disagree
2/4/2022 15:40:02,Harrison K-8,More than six years,No,Yes,No,Yes,No,Not really,No,Not that I am aware of,On occasion,No,No,Sort of,Strongly disagree
2/5/2022 6:03:05,Harrison K-8,Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Somewhat,Yes,Yes,Absolutely,Yes,I'm not sure,Yes,Somewhat agree
2/5/2022 10:02:19,Harrison K-8,One to three years,Yes,,I'm not sure,Yes,Yes,Yes,Yes,Not that I am aware of,Absolutely,Yes,I'm not sure,Yes,Strongly agree
2/11/2022 7:17:45,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/25/2022 21:03:38,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,I'm not sure,Yes,Yes,Somewhat,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/8/2022 15:28:43,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,I'm not sure,Not often,Yes,Somewhat,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/10/2022 7:53:45,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Yes,Strongly agree
2/14/2022 13:01:58,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 13:02:05,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/14/2022 13:02:09,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 13:02:56,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Often,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/14/2022 13:04:37,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/14/2022 13:05:53,Lincoln School of Science and Technology (LSST),Three to six years,Yes,I'm not sure,Yes,Yes,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,Yes,Neither agree nor disagree
2/14/2022 13:06:25,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 13:10:34,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 13:11:52,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,Sort of,Neither agree nor disagree
2/14/2022 13:17:03,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 13:25:15,Lincoln School of Science and Technology (LSST),Three to six years,Yes,No,No,No,No,No,Yes,Not that I am aware of,On occasion,No,No,No,Strongly disagree
2/14/2022 13:27:27,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/14/2022 13:30:00,Lincoln School of Science and Technology (LSST),Less than one year,Yes,I'm not sure,Yes,Yes,Yes,Somewhat,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Yes,Somewhat agree
2/14/2022 13:48:29,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Often,Yes,Somewhat,Yes,Yes,Rarely,Yes,Yes,Sort of,Somewhat agree
2/14/2022 13:55:19,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 14:02:45,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 14:09:27,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,I'm not sure,Not often,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/14/2022 14:13:36,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 14:14:09,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/14/2022 14:18:56,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 14:28:49,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 14:31:10,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 14:37:21,Lincoln School of Science and Technology (LSST),One to three years,I'm not sure,I'm not sure,I'm not sure,Not often,No,Yes,Yes,Not that I am aware of,Never,No,No,No,Strongly disagree
2/14/2022 14:43:12,Lincoln School of Science and Technology (LSST),More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,,Yes,Yes,
2/14/2022 14:48:18,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 14:55:54,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 15:09:51,Lincoln School of Science and Technology (LSST),One to three years,Yes,No,Yes,Often,No,Somewhat,Yes,Not that I am aware of,On occasion,No,I'm not sure,Yes,Neither agree nor disagree
2/14/2022 15:14:24,Lincoln School of Science and Technology (LSST),Three to six years,Yes,I'm not sure,I'm not sure,Yes,Yes,Not really,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/14/2022 15:24:56,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Often,,Somewhat,Yes,Yes,On occasion,Yes,Yes,Yes,Neither agree nor disagree
2/14/2022 16:37:28,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 16:46:10,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,No,Not often,No,No,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,Yes,Yes,Sort of,Neither agree nor disagree
2/14/2022 16:49:18,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 19:21:42,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Often,No,Somewhat,"No, but I'm willing to learn how to do this better",Yes,On occasion,No,I'm not sure,Sort of,Neither agree nor disagree
2/14/2022 19:30:48,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 20:20:05,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 20:49:04,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 21:01:18,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/14/2022 21:26:16,Lincoln School of Science and Technology (LSST),Three to six years,Yes,I'm not sure,I'm not sure,Often,No,Yes,,Not that I am aware of,On occasion,No,I'm not sure,Yes,Somewhat Disagree
2/14/2022 23:13:47,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,I'm not sure,Yes,Yes,Somewhat,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Yes,Somewhat agree
2/15/2022 5:55:15,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/15/2022 8:07:20,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/15/2022 8:24:36,Lincoln School of Science and Technology (LSST),Less than one year,No,No,I'm not sure,Yes,Yes,Yes,Yes,No,Absolutely,No,No,Sort of,Strongly disagree
2/15/2022 9:23:29,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/15/2022 12:01:32,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/15/2022 12:40:34,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,No,I'm not sure,Yes,Somewhat agree
2/15/2022 15:18:01,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/15/2022 16:32:24,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/15/2022 16:32:36,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/15/2022 20:14:29,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Often,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/15/2022 20:21:57,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 1:30:27,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 7:29:11,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 15:05:27,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/21/2022 13:02:01,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,Yes,Yes,No,Yes,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,No,I'm not sure,Yes,Strongly agree
2/21/2022 13:02:10,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/21/2022 13:08:37,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 13:19:03,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/21/2022 13:38:21,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 13:42:43,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Often,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 13:56:45,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 14:27:53,Lincoln School of Science and Technology (LSST),One to three years,No,No,No,Not often,No,Somewhat,Yes,No,Never,No,No,No,Strongly disagree
2/21/2022 14:29:29,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Neither agree nor disagree
2/21/2022 14:44:10,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 15:03:42,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 15:21:20,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 15:34:12,Lincoln School of Science and Technology (LSST),One to three years,I'm not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,I'm not sure,Yes,Somewhat agree
2/21/2022 15:41:57,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 15:58:00,Lincoln School of Science and Technology (LSST),More than six years,Yes,Yes,I'm not sure,Yes,No,Not really,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,I'm not sure,Yes,Somewhat agree
2/21/2022 16:01:49,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 16:15:16,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 17:11:35,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,I'm not sure,Yes,Yes,Somewhat,Yes,,Absolutely,Yes,Yes,Yes,Somewhat agree
2/21/2022 17:11:43,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 17:19:40,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/21/2022 17:21:53,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 17:46:59,Lincoln School of Science and Technology (LSST),Three to six years,No,No,I'm not sure,Not often,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,Never,Yes,Yes,Sort of,Somewhat Disagree
2/21/2022 18:33:09,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 18:46:53,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/21/2022 19:21:17,Lincoln School of Science and Technology (LSST),Three to six years,No,Yes,No,Yes,Yes,Yes,Yes,No,Never,Yes,Yes,Sort of,Neither agree nor disagree
2/21/2022 19:39:14,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/21/2022 20:08:28,Lincoln School of Science and Technology (LSST),Less than one year,I'm not sure,I'm not sure,I'm not sure,Yes,No,No,No,Not that I am aware of,Never,No,I'm not sure,Sort of,Neither agree nor disagree
2/21/2022 21:34:17,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Yes,Neither agree nor disagree
2/21/2022 21:35:26,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Not that I am aware of,Absolutely,Yes,Yes,Sort of,Neither agree nor disagree
2/21/2022 22:44:55,Lincoln School of Science and Technology (LSST),More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/22/2022 7:03:19,Lincoln School of Science and Technology (LSST),Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,No,I'm not sure,Sort of,Neither agree nor disagree
2/22/2022 8:40:56,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/22/2022 10:18:08,Lincoln School of Science and Technology (LSST),Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/22/2022 14:02:47,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,No,Somewhat agree
2/22/2022 14:40:11,Lincoln School of Science and Technology (LSST),One to three years,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
